marcador,N,sitios,pi,H,S,Hd,Tajima_D,Fu_Fs,R2
ND2,118,1011,0.00249,26,30,0.864,-1.7525,-15.699,0.091
FIB7,218,822,0.000467,11,10,0.320,-1.7865,-10.580,0.0211
