area,anova_p,kw_p,interpretacao
Linguagens,"0,0011","<0,001",ambos significativos
Ciências Humanas,"<0,001","<0,001",ambos significativos
Matemática,"<0,001","<0,001",ambos significativos
Ciências da Natureza,"0,0131","0,0055",ambos significativos
